                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.5969,                 5.7576,                 3.3346,                0.00282,                0.82444,                0.02995,                0.01413,                 1.4726,                 3.9235,                 1.8299,             0.00012304,             0.00012304,             0.00012304
                      1,                 1.7595,                 5.1175,                 2.4743,                0.00329,                0.94444,                0.11688,                0.06592,                0.90429,                 3.5872,                 1.4436,             0.00022865,             0.00022865,             0.00022865
                      2,                 1.4577,                 4.6406,                 2.0962,                0.00314,                0.88889,                0.11878,                0.05914,                 1.1518,                 3.6797,                 1.6212,             0.00030837,             0.00030837,             0.00030837
                      3,                 0.8018,                 4.0633,                 1.5891,                0.00321,                0.88889,                0.11155,                0.08093,                0.86914,                 3.2273,                 1.4329,             0.00036221,             0.00036221,             0.00036221
                      4,                0.91872,                 3.9642,                 1.6636,                 0.9732,                0.09789,                0.11096,                0.09516,                0.75918,                 2.4035,                 1.1315,             0.00039016,             0.00039016,             0.00039016
                      5,                0.82677,                 3.5404,                 1.6105,                 0.9732,                0.09789,                0.11096,                0.09516,                0.75918,                 2.4035,                 1.1315,             0.00038835,             0.00038835,             0.00038835
                      6,                0.71089,                 3.1799,                 1.4697,                0.97535,                0.11111,                0.21994,                 0.1611,                0.49684,                 5.0402,                0.72733,             0.00038835,             0.00038835,             0.00038835
                      7,                0.54052,                 2.8935,                   1.31,                0.97535,                0.11111,                0.21994,                 0.1611,                0.49684,                 5.0402,                0.72733,             0.00031221,             0.00031221,             0.00031221
                      8,                0.59451,                 2.7126,                 1.4133,                0.97615,                0.11111,                0.14421,                 0.1246,                0.41207,                 5.6973,                0.68468,             0.00023608,             0.00023608,             0.00023608
                      9,                0.53642,                 2.6721,                 1.3074,                0.97615,                0.11111,                0.14421,                 0.1246,                0.41207,                 5.6973,                0.68468,             0.00015995,             0.00015995,             0.00015995
